Name,Age,Experience (Years),Education Level,Hours Worked per week,Projects Completed,Performance Category
Ali Khan,50,10,Bachelor,9,10,Poor
Ayesha Raza,36,31,Bachelor,7,8,Outstanding
Sara Sheikh,29,6,Bachelor,4,18,Low
Ali Iqbal,42,10,Bachelor,6,19,Average
Ali Chaudhry,40,27,High School,5,9,Good
Bilal Khan,44,22,Master,8,2,Excellent
Usman Malik,32,22,Bachelor,4,2,Average
Sara Raza,32,27,Master,8,7,Average
Amna Chaudhry,45,25,Bachelor,4,5,Good
Usman Iqbal,57,24,Master,5,19,Low
Sara Iqbal,45,28,Master,4,0,Poor
Bilal Raza,24,18,High School,4,19,Excellent
Hassan Chaudhry,43,32,Bachelor,5,5,Average
Ayesha Khan,23,13,Bachelor,9,1,Poor
Ahmed Shah,45,13,Bachelor,8,18,Average
Fatima Qureshi,51,34,Bachelor,9,6,Low
Ahmed Raza,59,29,Bachelor,8,10,Poor
Fatima Malik,23,27,Bachelor,7,10,Low
Ali Shah,42,16,PhD,8,3,Good
Ali Ashraf,54,2,High School,8,19,Good
Fatima Chaudhry,33,15,PhD,4,15,Average
Ayesha Khan,43,29,Bachelor,7,4,Low
Hassan Iqbal,46,28,Master,5,6,Good
Ali Shah,48,14,Bachelor,5,15,Average
Ali Iqbal,49,24,High School,6,14,Average
Ayesha Chaudhry,37,22,Master,7,4,Excellent
Fatima Chaudhry,36,24,Bachelor,4,0,Average
Sara Malik,24,6,Master,6,19,Average
Usman Raza,58,21,Bachelor,6,8,Outstanding
Ayesha Malik,28,16,Bachelor,5,4,Average
Sara Malik,42,17,Bachelor,8,5,Average
Bilal Qureshi,30,9,Master,4,2,Average
Hassan Ashraf,39,9,High School,7,5,Low
Ahmed Ashraf,25,6,Master,6,7,Good
Fatima Raza,46,26,Master,4,5,Good
Ayesha Malik,35,32,High School,5,15,Low
Zain Sheikh,30,0,High School,6,15,Poor
Amna Raza,47,33,Master,6,2,Outstanding
Ahmed Butt,23,3,Bachelor,9,16,Average
Bilal Qureshi,41,16,Bachelor,5,5,Low
Amna Raza,49,3,High School,9,5,Average
Fatima Khan,28,25,Bachelor,5,18,Average
Sara Khan,29,3,High School,5,19,Low
Fatima Shah,56,0,Bachelor,9,14,Poor
Ayesha Malik,35,6,Master,4,18,Good
Sara Chaudhry,38,29,Bachelor,4,1,Good
Fatima Raza,57,8,Bachelor,4,7,Average
Hassan Shah,25,34,PhD,8,6,Poor
Hassan Sheikh,23,7,Master,6,7,Average
Ayesha Sheikh,27,23,Master,4,12,Average
Sara Iqbal,25,18,Bachelor,8,14,Average
Amna Qureshi,50,26,Master,6,11,Average
Zain Shah,39,31,High School,4,14,Low
Zain Shah,47,13,High School,5,13,Average
Fatima Raza,55,17,Bachelor,7,6,Outstanding
Ahmed Iqbal,31,27,Bachelor,4,16,Average
Hassan Malik,57,28,Master,7,4,Average
Usman Malik,35,15,Bachelor,4,19,Average
Ahmed Sheikh,52,34,Master,5,9,Average
Bilal Chaudhry,36,30,Master,7,18,Good
Ali Shah,29,3,Bachelor,8,17,Average
Bilal Chaudhry,35,16,Bachelor,5,9,Good
Hassan Iqbal,44,25,Bachelor,7,1,Low
Ayesha Iqbal,42,3,Bachelor,7,5,Excellent
Usman Malik,37,29,High School,9,2,Low
Amna Qureshi,39,29,PhD,9,18,Poor
Fatima Malik,45,21,High School,5,4,Low
Ayesha Shah,47,10,High School,5,6,Low
Ahmed Butt,46,1,Master,5,6,Average
Usman Qureshi,50,11,Bachelor,6,9,Average
Amna Sheikh,36,29,Master,8,0,Good
Amna Malik,22,17,Bachelor,4,10,Poor
Ayesha Iqbal,46,25,Bachelor,9,6,Average
Zain Raza,28,6,Bachelor,7,5,Average
Ahmed Ashraf,30,0,Bachelor,9,5,Average
Ahmed Iqbal,45,25,Bachelor,4,12,Poor
Amna Khan,22,22,Master,5,15,Poor
Zain Ashraf,29,25,Bachelor,9,12,Average
Hassan Khan,45,5,PhD,8,1,Good
Ali Ashraf,32,5,High School,8,18,Good
Ayesha Raza,38,7,Bachelor,6,18,Poor
Usman Raza,29,23,Bachelor,9,18,Low
Zain Malik,56,21,PhD,5,17,Low
Ali Butt,56,18,High School,7,5,Average
Ali Iqbal,54,17,Bachelor,6,1,Average
Ahmed Sheikh,26,30,Master,5,18,Low
Hassan Iqbal,49,29,Bachelor,6,5,Average
Ahmed Qureshi,28,32,Master,9,19,Average
Amna Chaudhry,30,9,High School,4,14,Average
Bilal Raza,29,11,Master,9,5,Low
Amna Raza,33,29,PhD,5,2,Average
Ayesha Shah,55,26,Master,7,10,Average
Fatima Butt,54,8,Bachelor,7,7,Excellent
Amna Butt,44,20,High School,5,17,Good
Ali Raza,45,11,PhD,6,16,Low
Sara Malik,58,28,Bachelor,8,18,Low
Fatima Khan,56,32,High School,5,18,Average
Zain Iqbal,43,14,Master,9,16,Average
Sara Chaudhry,48,1,Bachelor,7,3,Excellent
Sara Khan,56,17,High School,4,6,Average
Ali Khan,22,2,Bachelor,7,4,Excellent
Sara Malik,56,6,High School,8,15,Average
Usman Ashraf,58,17,Bachelor,7,5,Excellent
Ali Iqbal,35,32,Master,8,13,Good
Sara Qureshi,24,30,Bachelor,5,19,Good
Hassan Raza,22,10,Master,7,1,Average
